排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,RSI14,距20EMA%,5日報酬%,淘汰原因
325,2204,中華,TWSE,汽車工業,排除,67.3,100,57.6,57.9,6.71,10.1,4.62,24.95,116.52,1.18,10.63,0.86,6.25,6,-3,22,41,1600,1530,61,129,-158,3082,17.9,81,-461,722,257,100,-439,965,61.44,2.04,1.05,"單日成交金額低於5,000萬元；ETF加碼金額或跨基金共識不足"
326,5288,豐祥-KY,TWSE,電機機械,排除,67,100,190,187.5,71.59,28.97,14.46,24.96,236.86,3.59,15.79,2.17,3.42,1,-1,-1,-1,-1,0,0,-32,16,19,59.85,-26,-18,-12,-74,-26,13,-7,60.86,4.03,1.6,"單日成交金額低於5,000萬元；ETF短中期同步減碼；ETF 1/3日已轉為減碼"
327,6782,視陽,TWSE,生技醫療業,排除,66.8,100,201,199,45.95,23.39,28.11,32.69,126.45,3.82,13.56,3.01,4.18,1,0,0,0,0,65,0,-16,72,621,8.69,-19,-54,480,581,-15,4,538,52.84,0.42,-4.74,"單日成交金額低於5,000萬元；當下除權息調整價未守20日EMA"
328,4736,泰博,TWSE,生技醫療業,排除,66.2,100,128,130,2.09,1.25,25.4,23.84,273.12,2.99,7.01,1.27,3.91,1,0,0,0,0,0,0,70,198,427,6.11,46,142,315,392,70,200,427,63.66,2.01,1.19,"單日成交金額低於5,000萬元"
329,1808,潤隆,TWSE,建材營造,排除,65.8,100,31.2,32.1,162537.27,17993.12,22.8,73.51,175.66,1.06,11.64,2.04,4.81,1,0,0,0,0,0,0,404,1089,1509,4.32,643,2519,2676,-19,402,1077,1499,54.68,1.97,3.14,"單日成交金額低於5,000萬元；20日趨勢尚未上彎"
330,9938,百和,TWSE,其他,排除,65,100,46.3,46.6,21.21,0.03,12.89,53.72,118.79,0.87,13.46,1.07,6.48,3,0,0,-16,1685,1643,0,151,1184,1990,9.16,-179,909,508,-391,137,1222,258,59.05,2.38,2.77,"單日成交金額低於5,000萬元；20日累積後5日轉為調節"
331,6277,宏正,TWSE,電腦及週邊設備業,排除,64,100,74.3,74.2,35.12,12.79,14.42,32.83,208.56,1.08,22.86,1.91,4.71,1,0,0,0,0,0,0,39,-82,9,9.4,-47,-179,-149,80,41,-80,12,58.88,2.99,5.69,"單日成交金額低於5,000萬元；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎"
332,9942,茂順,TWSE,其他,排除,63.2,100,122.5,125.5,26.64,15.31,24.47,24.59,354.85,2.22,14.92,2.25,5.71,1,0,0,0,0,0,0,77,171,123,4.52,75,187,139,-47,75,172,123,68.59,2.67,3.38,"單日成交金額低於5,000萬元"
333,8261,富鼎,TWSE,半導體業,排除,63,100,304,278.5,16.09,8.1,25.66,11.26,757.9,1.57,52.05,5.9,1.64,2,0,0,33,183,208,13,-850,1916,2476,6.41,-906,1811,1548,5785,-835,1816,2289,60.58,8.42,-11.11,處置或交易限制風險；當下除權息調整價未守20日EMA
334,2303,聯電,TWSE,半導體業,排除,62.8,100,166,160,22.85,11.28,18.47,32.2,271.87,1.29,41.71,5.13,1.57,63,-2340,-9499,-5442,-108115,-408097,88,5805,5504,-1761,42.17,-2855,47912,128896,259247,-8697,19902,117184,58.71,6.23,7.1,處置或交易限制風險；ETF短中期同步減碼；ETF 1/3日已轉為減碼；外資持股趨勢資料不足或期間有非市場異動
335,1720,生達,TWSE,生技醫療業,排除,62.2,100,64.3,64.5,9.11,1.64,20.8,25.03,204.52,1.3,11.91,1.9,4.67,1,-2,-2,-2,-1,0,0,46,70,305,5.48,1,44,235,184,51,70,307,63.87,1.36,1.1,"單日成交金額低於5,000萬元；ETF短中期同步減碼；ETF 1/3日已轉為減碼"
336,2707,晶華,TWSE,觀光餐旅,排除,61.7,100,180,179.25,13.94,5.11,28.9,65.43,123.74,5.73,12.86,6.48,5.97,1,-2,-1,-1,-1,0,0,20,155,706,6.76,-131,113,485,797,24,162,715,53.84,0.38,0.28,"單日成交金額低於5,000萬元；ETF短中期同步減碼；ETF 1/3日已轉為減碼；當下除權息調整價未守20日EMA"
337,4137,麗豐-KY,TWSE,生技醫療業,排除,61.5,100,96.3,96.7,22.6,8.62,15.53,43.21,206.97,1.41,12.25,1.42,10.38,2,-1,-1,-3,278,278,0,27,-81,-960,54.48,5,70,-763,-1258,29,-85,-1115,35.21,-4.96,0.63,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
338,3708,上緯投控,TWSE,綠能環保,排除,61.2,100,102.5,101.5,61.7,-2.02,-37.61,20.7,182.77,0.13,2.51,0.54,6.34,3,-2,49,99,280,263,0,-8,-340,-245,7.62,17,101,556,-624,4,-356,-260,38.05,-6.56,-7.24,"單日成交金額低於5,000萬元；中期趨勢仍向下；三大法人5/10日同步賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
339,2459,敦吉,TWSE,其他電子業,排除,61.1,100,64.4,67.2,20.97,9.92,14.95,35.33,192.37,1.41,12.31,1.22,6.52,1,0,0,0,0,0,0,43,-10,-47,15.86,101,153,140,98,45,-17,-54,46.16,-0.31,1.42,"單日成交金額低於5,000萬元；中期趨勢仍向下；三大法人5/10日同步賣超；20日趨勢尚未上彎"
340,2607,榮運,TWSE,航運業,排除,61,100,47,47.3,25.41,2.45,11.71,28.48,338.24,1.04,9.94,0.8,5.74,1,0,0,0,0,0,0,346,515,-427,8,400,706,212,-1051,352,484,-248,45.06,-0.94,2.4,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
341,5534,長虹,TWSE,建材營造,排除,60.9,100,80.2,81.7,124.21,34.2,8.61,52.34,200.43,0.19,16.37,1.12,6.86,1,0,0,0,0,0,0,215,387,806,9.5,239,339,822,-463,233,388,1087,55.03,1,1.13,"單日成交金額低於5,000萬元；20日趨勢尚未上彎"
342,6024,群益期,TWSE,金融保險業,排除,60.9,100,64.8,65.2,124.15,-29.03,,87.11,113.58,1.76,10.85,1.49,5.35,1,-3,-2,-2,-1,0,0,-43,152,295,4.8,-37,167,333,804,-40,153,294,70.6,3.86,4.01,"單日成交金額低於5,000萬元；ETF短中期同步減碼；ETF 1/3日已轉為減碼"
343,8021,尖點,TWSE,其他電子業,排除,60.8,100,532,505,90.11,66.6,20.12,35.15,258.65,1.17,152.44,14.34,0.37,9,-2,-1,-1,161,162,0,252,1365,1293,20.39,196,595,277,4110,206,1072,958,52.74,1.83,6.83,處置或交易限制風險；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
344,2480,敦陽科,TWSE,資訊服務業,排除,59.9,100,161,161.5,14.66,14.96,12.41,64.43,134.91,2.63,19.19,5.73,4.84,4,0,0,-1,4,15,0,32,260,1311,10.65,45,-168,832,1187,34,257,1286,57.1,2.11,-0.62,"單日成交金額低於5,000萬元；20日累積後5日轉為調節"
345,2923,鼎固-KY,TWSE,建材營造,排除,59.8,100,33.9,35.85,294.84,170.39,52.88,59.07,293.58,0.02,,1.29,0.35,1,0,0,0,0,0,0,128,714,803,99.48,115,679,774,984,115,679,779,72.14,23.44,25.32,"單日成交金額低於5,000萬元；短線過熱或乖離過大；高波動且5日漲幅過大"
346,5515,建國,TWSE,建材營造,排除,59.8,100,41.95,41.9,24.55,27.59,13.33,50.62,177.24,1.96,7.03,1.49,7.87,1,-1,-45,-135,-335,-373,0,151,230,181,12.15,130,401,592,-1108,120,343,514,56.06,1.83,3.2,"單日成交金額低於5,000萬元；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎"
347,4532,瑞智,TWSE,電機機械,排除,59.3,100,25.7,25.4,28.8,1.91,5.88,63.19,130.18,0.48,14.04,1.22,5.84,2,0,0,-18,1482,1405,0,-277,-710,1665,18.67,-467,-898,64,3293,-291,-581,213,48.92,-1.62,-8.38,"單日成交金額低於5,000萬元；20日累積後5日轉為調節；當下除權息調整價未守20日EMA"
348,6756,威鋒電子,TWSE,半導體業,排除,58.8,100,101,96,50.06,16.36,-12.22,24.85,205.7,0.64,66.45,2.42,0.89,1,0,0,0,0,0,0,35,-54,40,3.22,38,-39,77,230,37,-49,45,52.86,1.62,3.48,"單日成交金額低於5,000萬元；當下除權息調整價未守20日EMA"
349,9911,櫻花,TWSE,居家生活,排除,58.8,100,83.9,84.2,6.72,6.3,16.6,44.5,144.79,1.87,13.19,2.96,5.96,2,-1,-1,-1,-2,-10,0,7,-108,832,18.97,-12,-81,886,375,12,-114,833,51.93,0.24,-0.36,"單日成交金額低於5,000萬元；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎"
350,6192,巨路,TWSE,其他電子業,排除,58.6,100,120.5,120.5,16.94,5.75,17.1,42.57,213.85,2.63,12.33,1.6,4.81,1,-1,-1,-1,0,0,0,51,135,337,24.91,51,141,327,207,52,137,335,48.02,-0.24,0.84,"單日成交金額低於5,000萬元；中期趨勢仍向下；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
351,9802,鈺齊-KY,TWSE,運動休閒,排除,58.4,100,74.6,75.9,15.45,0.37,5.13,38.72,126.86,0.89,13.16,1.11,6.84,1,0,0,0,0,0,0,99,761,1551,41.78,81,1124,1654,993,101,741,1509,47.54,-0.18,1.36,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎"
352,1537,廣隆,TWSE,電機機械,排除,58,100,126.5,126.5,14.05,0.69,11.36,22.65,520.51,2.11,16.64,2.25,5.69,1,0,0,0,0,0,0,17,-24,8,15.86,22,-6,0,3,19,-26,10,52.52,0.33,0.4,"單日成交金額低於5,000萬元；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎"
353,6183,關貿,TWSE,資訊服務業,排除,57.7,100,90.9,90.85,7.45,9,29.1,35.05,207.12,1.07,22.44,4.55,3.91,1,0,0,0,0,0,0,23,117,117,1.12,21,124,128,138,21,115,115,56.24,0.81,0.89,"單日成交金額低於5,000萬元"
354,5007,三星,TWSE,鋼鐵工業,排除,57.2,100,56.4,56.3,28.19,-0.57,19.59,22.55,340.47,0.91,18.55,2.52,5.32,1,0,0,0,0,0,0,21,170,170,3.48,21,165,173,216,21,166,166,52.63,0.57,1.26,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎"
355,4763,材料*-KY,TWSE,化學工業,排除,56.5,100,46.95,47.45,-10.11,-30.69,49.58,6.15,1311.55,1.13,9.08,2.15,6.5,6,-8,-7,-18,244,195,0,505,-2820,-2526,46.15,1557,1959,-2088,-6084,522,-2226,-2767,51.56,0.12,-4.57,營收動能同步衰退；累計營收負成長且當月改善不足；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股趨勢資料不足或期間有非市場異動
356,2753,八方雲集,TWSE,觀光餐旅,排除,56,100,177,178.5,10.85,7.26,12.55,52.65,148.58,3.56,13.14,3.32,6.78,3,-1,-1,-3,253,244,0,46,-188,-230,4.34,66,71,-202,-305,48,-179,-472,38.11,-2.47,-0.84,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
357,2546,根基,TWSE,建材營造,排除,55.9,100,95.7,95.7,44.27,21.26,5.33,61.72,157.79,1.43,10.06,2.02,6.27,1,0,0,0,0,0,0,80,36,102,3.73,53,57,133,-80,53,5,69,62,2.68,1.92,"單日成交金額低於5,000萬元；20日趨勢尚未上彎"
358,2420,新巨,TWSE,電子零組件業,排除,55.8,100,59.5,59.3,10.73,1.47,29.85,28.03,376.2,1.05,15.1,2.18,5.04,1,0,0,0,-75,-219,0,-194,-302,-198,7.45,-160,-250,-102,-321,-194,-387,-254,43.28,-2.15,-1.16,"單日成交金額低於5,000萬元；中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
359,3189,景碩,TWSE,半導體業,排除,55.8,100,845,770,32.27,29.79,8.02,38.47,187.51,1.17,238.03,10.32,0.18,22,0,3,-1,113,2563,1,433,3582,-3617,21.15,326,3137,-3675,-15878,198,3145,-3988,59.23,8.93,23,處置或交易限制風險；20日累積後5日轉為調節；當下除權息調整價未守20日EMA；短線過熱或乖離過大；高波動且5日漲幅過大；強勢上漲後盤中急跌反轉
360,2206,三陽工業,TWSE,汽車工業,排除,55.7,100,63.9,64.2,-13.38,-5.33,9.42,55.08,146.51,1.37,11.27,1.8,4.79,3,254,484,1050,1238,1102,78,27,737,3386,7.45,-495,-2051,219,12995,-216,-316,2146,61.49,1.89,0.16,營收動能同步衰退；累計營收負成長且當月改善不足；外資持股趨勢資料不足或期間有非市場異動
361,3003,健和興,TWSE,電子零組件業,排除,55.5,100,63.1,66,36.15,31.5,8.87,21.85,464.19,0.47,62.48,1.53,1.58,1,0,0,0,0,0,0,33,-497,49,4.66,12,-456,51,916,-10,-479,48,44.3,-3.07,-4.54,"單日成交金額低於5,000萬元；20日趨勢尚未上彎"
362,5484,慧友,TWSE,光電業,排除,55,100,47.8,46.55,224.33,118.45,-9.56,48.35,110.65,0.33,129.19,6.19,,1,0,0,0,-2,-5,0,-99,-250,-282,1.25,-98,-254,-285,-355,-98,-254,-285,51.39,0.83,5.05,"單日成交金額低於5,000萬元；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
363,1307,三芳,TWSE,塑膠工業,排除,54.9,100,32.4,32.7,11.11,4.77,13.9,45.87,164.97,0.97,11.82,1.32,6.79,1,0,0,-5,-46,-104,0,-109,-381,-2344,7.13,196,1080,-684,-2576,134,208,-1188,40.33,-3.73,-1.82,"單日成交金額低於5,000萬元；中期趨勢仍向下；ETF短中期同步減碼；三大法人5/10日同步賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
364,2397,友通,TWSE,電腦及週邊設備業,排除,54.7,100,58.5,58.3,31.37,25.65,5.57,58.1,145.39,0.76,25.22,2.07,4.19,1,0,0,0,0,0,0,135,130,964,13.59,156,159,1021,497,136,139,972,45.16,-1.64,-2.66,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
365,3040,遠見,TWSE,其他,排除,54.7,100,38,38.8,8.72,2.95,9.32,23.85,2454.42,0.04,,1.69,9.21,1,0,0,-1,-2,-5,0,50,105,188,0.89,50,80,167,123,50,105,192,48.1,0.04,1.88,"單日成交金額低於5,000萬元；ETF短中期同步減碼"
366,2015,豐興,TWSE,鋼鐵工業,排除,54.5,100,64,64.3,-9.73,-11.51,9.2,19.29,277.39,0.91,16.12,1.76,5.16,3,0,0,0,0,0,0,377,933,1261,12.51,317,904,1272,387,383,950,1303,61.78,3.03,3.39,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足"
367,2362,藍天,TWSE,電腦及週邊設備業,排除,54.5,100,42.1,42.4,30.25,17.64,6.85,57.84,111.43,0.61,18.79,0.55,4.75,2,-6,-6,-6,-6,-6,0,107,-611,-883,9.48,126,-130,-468,-3393,118,-619,-852,44.67,-2.95,-3.99,"單日成交金額低於5,000萬元；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
368,9946,三發地產,TWSE,建材營造,排除,54.5,72,18.15,18.3,-11.49,4131.79,46.84,59.28,221.67,2.56,4.36,0.83,7.55,1,0,50,130,335,335,0,-23,-250,289,3.29,0,-250,172,-4,-23,-386,-61,,,,"單日成交金額低於5,000萬元"
369,1736,喬山,TWSE,運動休閒,排除,54.4,100,131,129,14.49,9.38,-0.78,69.64,130.22,0.08,15.92,2.82,3.44,1,0,0,0,-170,-167,0,27,294,236,5.39,-168,57,278,1677,19,274,390,59.58,4,1.55,"單日成交金額低於5,000萬元"
370,2450,神腦,TWSE,通信網路業,排除,54.1,100,29,28.8,16.42,15.9,0.71,45.77,159.98,0.25,18.95,1.23,5.34,1,0,0,0,0,0,0,40,31,5,1.34,105,106,102,-130,43,33,7,44.12,-0.51,0.52,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
371,6115,鎰勝,TWSE,電子零組件業,排除,54,100,45.95,45.7,15.96,11.79,8.93,34.53,261.24,0.71,16.18,1.55,6.09,1,0,0,0,0,0,0,-23,-713,-672,5.28,54,-593,-566,-770,-21,-717,-675,34.12,-3.29,-4.87,"單日成交金額低於5,000萬元；中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
372,2497,怡利電,TWSE,汽車工業,排除,53.8,100,59.3,59.6,52.52,21.2,8.13,48.83,155.09,0.8,26.24,2.51,3.37,1,0,0,0,0,0,0,-38,-639,1517,4.53,19,-592,1564,805,-38,-639,1511,48.18,-1.84,-8.06,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
373,4583,台灣精銳,TWSE,電機機械,排除,53.3,100,603,603,29.98,14.06,35.52,16.5,589.27,3.56,52.89,5,1.66,4,0,0,0,0,0,0,16,82,60,1.24,16,79,56,62,16,80,57,40.12,-2.19,-1.47,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
374,9935,慶豐富,TWSE,居家生活,排除,53.2,72,18.85,18.75,17.01,7.96,10.69,69.03,106.69,0.51,11.49,1.28,6.37,1,0,0,-4,519,519,0,23,-46,914,5.78,36,-14,336,33,23,-49,344,,,,"單日成交金額低於5,000萬元"
375,4746,台耀,TWSE,生技醫療業,排除,52.7,100,53.9,53,0.29,-8.86,14.17,36.6,232.78,0.16,19.11,0.83,5.57,1,0,0,0,0,49,0,131,-114,1397,9.61,136,-300,981,1512,129,-117,1374,51.98,0.64,-3.92,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；當下除權息調整價未守20日EMA"
376,2102,泰豐,TWSE,橡膠工業,排除,52.5,100,18.95,19,-15.52,-34.88,-113.76,20.49,1749.19,0.01,2.93,0.9,,1,0,0,0,0,0,0,9,207,290,3.05,15,311,537,940,13,209,290,59.77,1.96,0.53,"單日成交金額低於5,000萬元；營收動能同步衰退；累計營收負成長且當月改善不足"
377,8213,志超,TWSE,電子零組件業,排除,52.5,100,34.25,34.1,26.05,10.64,2.32,48.99,172.88,0.3,17.75,0.56,3.33,1,0,0,0,0,0,0,137,-1031,-2021,21.75,-258,-1516,-2371,-2173,158,-1034,-2005,40.37,-3.39,-1.15,"單日成交金額低於5,000萬元；中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
378,4942,嘉彰,TWSE,光電業,排除,52.3,100,37.75,37.6,-10.88,-6.79,5.6,20.11,341.31,0.52,12.75,0.59,5.3,1,0,0,0,0,0,0,69,128,180,6.87,72,91,126,28,71,125,178,52.15,0.49,0.27,"單日成交金額低於5,000萬元；營收動能同步衰退；累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎"
379,6281,全國電,TWSE,電子通路業,排除,52,100,51.8,51.65,-0.86,-1.6,3.12,73.4,127.06,1.13,13.89,1.92,6.37,1,0,0,0,0,0,0,38,-25,117,2.57,56,11,168,115,38,-29,112,53.72,0.71,-0.19,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；20日趨勢尚未上彎"
380,2543,皇昌,TWSE,建材營造,排除,51.7,100,39.55,39.75,105.33,54.81,9.02,50.36,105.92,0.37,15.95,2.08,3.79,1,0,0,0,0,0,0,190,918,965,1.47,263,1165,1064,1796,235,932,1000,42.12,-2.08,2.73,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
381,4441,振大環球,TWSE,紡織纖維,排除,51,100,180,180.5,-3.51,10.64,17.54,28.19,286.75,4.81,12.62,1.86,6,1,0,0,0,0,0,0,55,28,41,1.27,55,34,70,-25,55,28,41,32.47,-5.4,-5.26,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
382,1712,興農,TWSE,化學工業,排除,50.6,100,39.5,39.55,4.08,3.12,7.64,49.53,134.41,0.67,15.93,2.12,6.33,2,-4,-4,-13,1078,1080,0,44,-111,310,13.56,79,-96,-923,-1769,53,-101,-756,47.5,-0.14,-0.63,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
383,2373,震旦行,TWSE,其他電子業,排除,50.3,100,54.7,54.1,4.91,-2.47,4.67,52.68,186.73,0.72,14.03,1.75,6.76,1,0,0,0,0,0,0,44,78,29,1.38,42,63,6,26,42,73,26,35.9,-2.19,1.86,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
384,2492,華新科,TWSE,電子零組件業,排除,49.9,100,379,341.5,25.84,14.67,7.54,38.88,156.23,1.69,72.61,3.44,0.66,8,4,15,421,433,4254,400,-3034,-1018,712,24.59,692,829,3007,-11880,538,741,3169,37.77,-20.65,-24.5,處置或交易限制風險；當下除權息調整價未守20日EMA
385,2474,可成,TWSE,其他電子業,排除,49.8,100,191,189,-55.07,-31.58,6.45,36.79,147.21,2.63,18.3,0.75,5.38,22,210,320,684,6977,7311,51,695,-570,-5790,15.89,653,3257,-10427,-24589,527,-857,-12721,40.05,-4.55,-2.55,營收動能同步衰退；累計營收負成長且當月改善不足；中期趨勢仍向下；三大法人5/10日同步賣超；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
386,6176,瑞儀,TWSE,光電業,排除,49.8,100,88.2,88.6,-15.03,-5.98,11.95,49.96,165.92,2.29,9.41,1.12,3.97,7,-3,-151,-362,-6979,-29958,54,-4,-435,5431,35.77,476,1227,13578,31779,-86,135,12572,41.3,-2.37,-3.29,營收動能同步衰退；累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
387,6120,達運,TWSE,光電業,排除,49.7,100,14.1,14.2,42.06,-3.78,-2.25,47.11,196.07,-0.15,,0.95,1.77,1,0,0,0,0,45,0,431,-1349,-3094,9.57,485,-1339,-2669,1189,483,-1320,-2912,48.87,-0.61,1.44,"單日成交金額低於5,000萬元；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超"
388,2731,雄獅,TWSE,觀光餐旅,排除,49.5,100,146,146.5,-0.46,9.79,5.1,59.31,150.1,4.17,8.54,2.55,8.77,2,-1,-1,-4,241,-550,0,-24,-592,-568,9.25,-8,-302,-414,-969,-20,-583,-787,34.95,-2.44,-1.35,"單日成交金額低於5,000萬元；中期趨勢仍向下；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
389,3031,佰鴻,TWSE,光電業,排除,49,100,28.5,27.95,27.04,20.27,6.24,18.62,352.91,0.13,25.45,1.73,3.51,1,0,0,-1,-3,-10,0,-279,-905,-1888,1.76,-394,-1893,-2985,-1895,-271,-906,-1903,40.75,-7.41,-12.71,"單日成交金額低於5,000萬元；ETF短中期同步減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA"
390,6189,豐藝,TWSE,電子通路業,排除,48.7,100,49.6,49.05,4.49,-2.48,4.6,57.46,168.57,1,18.86,2.02,5.44,3,0,0,-4,-3,6,0,194,276,2299,7.51,205,526,3065,511,196,239,2252,43.18,-3.48,-3.69,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；20日累積後5日轉為調節；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
391,2832,台產,TWSE,金融保險業,排除,48.5,72,57.2,57.2,7.27,8.04,,52.67,,1.64,11,1.19,6.12,1,0,0,-4,530,530,0,147,101,369,4.36,149,94,-83,667,149,101,-96,,,,"單日成交金額低於5,000萬元"
392,2535,達欣工,TWSE,建材營造,排除,48.4,100,88.1,89.3,19.94,22.31,10.61,67.39,168.08,2.88,10.56,2.31,5.22,1,-3,-3,-3,-1,0,0,0,-157,-464,7.22,29,-48,-245,473,0,-102,-406,49.15,-1.2,0.34,"單日成交金額低於5,000萬元；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎"
393,6605,帝寶,TWSE,汽車工業,排除,48.2,100,128.5,131,4.45,-3.37,18.3,36.89,129.82,4.41,9.63,1.03,5.06,1,-2,-2,-2,-1,0,0,-48,-71,-869,13.33,-112,167,-697,-3189,-44,7,-776,38.42,-4.36,-5.86,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
394,6768,志強-KY,TWSE,運動休閒,排除,47.9,100,71,71,5.2,-4.39,6.14,35.59,256.21,1.2,13.45,0.91,7.27,2,0,0,-2,-18,-41,0,91,327,-9,57.12,97,364,479,367,91,332,25,28.07,-7.32,-1.11,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
395,1707,葡萄王,TWSE,生技醫療業,排除,47.8,100,91.9,92.5,-7.24,-2.69,14.72,23.5,159.55,1.18,11.49,1.36,6.53,2,-4,-4,-4,-3,-2,0,105,352,266,14.35,140,677,796,526,118,362,281,30.84,-2.61,0.88,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
396,2903,遠百,TWSE,貿易百貨,排除,47.5,100,22.3,22.4,-2.42,-0.3,14.91,72.43,51.94,0.39,13.77,1,5.61,3,0,-2,-2,2139,10924,0,1366,404,1031,7.45,1557,1437,-831,-10390,1386,797,-879,45.6,-1.05,-0.45,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；20日累積後5日轉為調節；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
397,7795,長廣,TWSE,電子零組件業,排除,47.4,100,592,563,62.55,2.93,10.99,32.61,363.61,0.21,212.19,16.59,0.36,1,0,0,0,0,0,0,2,-699,535,10.07,11,-711,528,1424,11,-711,527,63.63,11.78,-1.33,處置或交易限制風險
