排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,RSI14,距20EMA%,5日報酬%,淘汰原因
226,1609,大亞,TWSE,電器電纜,等待轉強,55.7,100,39.25,38.6,22.67,19.01,14.08,68.56,129.15,0.66,16.42,1.76,1.78,2,-9,-9,-9,-9,-8,0,211,-6695,10029,12.99,322,-4664,10831,8623,144,-6443,9904,52.15,0.91,-6.44,ETF短中期同步減碼；ETF 1/3日已轉為減碼；當下除權息調整價未守20日EMA
227,2103,台橡,TWSE,橡膠工業,等待轉強,55.6,100,25.6,24.55,40.24,13.88,6.3,50.61,187.11,0.53,38.21,1.03,1.05,1,-8,-8,-8,-8,-9,0,982,-869,10783,24.21,202,-2339,9542,11142,474,-2544,8852,68.85,12.26,3.85,ETF短中期同步減碼；ETF 1/3日已轉為減碼
228,2368,金像電,TWSE,電子零組件業,等待轉強,55.4,100,1025,1005,78.22,68.74,26.85,58.63,170.81,6.87,46.28,15.03,0.96,40,32,126,51,-336,-3256,-45,-782,624,-103,28.03,729,5246,4280,8824,709,5540,4678,34.16,-13.26,-9.69,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
229,5880,合庫金,TWSE,金融保險業,觀察,55.4,100,25.35,25.5,-8.4,16.98,,94.65,,0.36,18.11,1.41,4.14,17,313,1583,2137,3987,7978,0,8972,45870,61458,16.31,9786,40835,46021,130100,9993,44465,58987,69.2,2.42,1.81,
230,6672,騰輝電子-KY,TWSE,電子零組件業,等待轉強,55.4,100,268,267.5,68.12,34.55,11.67,42.48,319.89,1.73,48.46,5.15,1.25,1,0,0,-1,-3,-8,0,-734,-1337,-404,25.73,-521,-747,-253,3561,-709,-1154,-167,50.76,-2.21,-10.67,ETF短中期同步減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
231,2393,億光,TWSE,光電業,等待轉強,55.3,100,68.7,69.5,10.58,3.16,7.41,31.13,236.99,0.91,16.4,1.48,6.55,12,2,-190,-479,-739,-3859,0,53,-3094,-4327,28.61,-39,-2386,-3456,-3343,-44,-2808,-3776,49.47,-0.33,-1.29,ETF短中期同步減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超
232,2834,臺企銀,TWSE,金融保險業,等待轉強,55.1,100,17.85,18.15,-7.72,4.14,,94.16,,0.35,13.63,1.16,5.6,12,-111,-121,-97,-148,-165,0,3100,-56232,-16353,18,4332,-49834,-11300,40041,3290,-55830,-15943,57.16,0.97,-1.38,ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超
233,5469,瀚宇博,TWSE,電子零組件業,等待轉強,54.9,100,76.7,73.2,15.36,24.52,7.89,53.01,134.88,1.23,13.39,0.99,3.29,4,0,0,1003,11065,16635,0,-467,-4590,-4897,8.84,21,-1789,-11089,-13907,-500,-5492,-15731,35.27,-7.96,-7.7,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
234,2308,台達電,TWSE,電子零組件業,等待轉強,54.8,100,1890,1905,55.43,41.02,17.83,47.78,195.36,7.91,69.69,16.39,0.61,53,193,724,880,508,-1451,303,634,-2620,-6874,63.23,637,-4037,-7968,-17840,528,-3479,-7367,41.53,-4.77,0,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
235,2385,群光,TWSE,電子零組件業,等待轉強,54.8,100,105.5,105.5,-5.48,-5.27,7.55,54.77,137,2,11.91,1.86,6.82,27,258,320,552,-6817,-13908,46,284,5433,1422,20.25,765,3292,7250,11648,288,5050,8357,35.27,-4.58,-1.4,累計營收負成長且當月改善不足；中期趨勢仍向下；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
236,3019,亞光,TWSE,光電業,等待轉強,54.5,100,144.5,141.5,13.14,15.6,7.76,38.97,223.85,1.05,21.06,2.83,3.18,2,0,0,0,0,0,0,97,-271,-920,6.8,-297,-35,280,-2823,-589,-797,-1142,46.88,-1.94,0.35,中期趨勢仍向下；三大法人5/10日同步賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
237,8114,振樺電,TWSE,電腦及週邊設備業,等待轉強,54.4,100,195.5,194,19.14,-25.79,17.79,29.6,215.8,2.75,13.03,1.97,5.87,3,0,0,-1,-4,-10,0,-87,63,479,12.48,-57,156,817,523,-86,-90,295,43.8,-3.63,-9.7,中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
238,1101,台泥,TWSE,水泥工業,等待轉強,54.3,100,23.55,23.95,32.4,1.54,8.42,49.01,223.86,0.1,,0.75,3.4,8,-76,-76,-76,-247,-543,0,11359,-45791,-80669,13.08,13584,-12913,-29706,-107337,11475,-45307,-79686,47.72,-0.11,0.64,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎
239,6005,群益證,TWSE,金融保險業,等待轉強,54.2,100,34.4,34.65,101.2,127.6,,86.55,110.74,1.34,9.61,1.55,4.97,7,-216,-1680,-2986,-20277,-68501,0,-1401,-22187,-30239,18.76,-1182,-19095,-9759,24232,-1182,-19186,-9954,37.2,-7.09,-9.59,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
240,8070,長華*,TWSE,電子通路業,等待轉強,54.2,100,52.4,51.2,32.82,24.87,12.13,47.87,258.16,0.51,49.43,2.08,5.17,6,0,-2,-6,6687,8164,0,-160,-3632,419,11.68,-173,-3425,-5874,-15199,-213,-3510,-6099,45.37,-3.19,-5.07,中期趨勢仍向下；20日累積後5日轉為調節；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
