排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
102,2881,富邦金,TWSE,金融保險業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 135.84 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,70.9,62.9,53.6,85,100,可用,154.5,,-48.02,172.43,,90.67,,6.67,14.44,1.9,2.75,35,-1452,-4549,127,2037,5475,-793,-1011.431,4406.473,7275.483,9624.030999999999,-1561.461,19.38299999999981,2415.3289999999997,9679.011,1,4,2994673,1494.556,1347.496,18.78,406,5175,3058,,351.952,2892.5339999999997,3512.658,-2187.6939999999995,66.96,76.94,72.02,86.78,true,true,4.71,2.32,ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼
103,6426,統新,TWSE,通信網路業,等待確認,正常持有,strong,強勢續抱；不追高,今日收盤確認是否守住20日EMA,價格仍在20／60日EMA之上且短線強勢；法人未同步轉弱。若收盤跌破20日EMA約 309.35 且法人續弱，再轉為保護持有。,價格強勢站上20／60日EMA；法人未同步轉弱,57.8,62.9,68.6,85,100,完整,356,,78.21,68.31,26.07,10.23,811.46,2.96,89.9,13.73,0.14,1,0,0,0,-33,118,0,-432.537,944.038,-805.6110000000001,3036.22,0,0,-33,118,0,0,0,18.097,-21.042,16.02,-451,1001,-594,,-432.635,925.941,-751.569,2870.524,68.68,81.92,84.79,76.17,false,true,15.08,18.67,短線過熱或乖離過大；KD高檔死亡交叉，等待動能確認；高波動且5日漲幅過大
104,8046,南電,TWSE,電子零組件業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,091.12 且法人籌碼轉弱，先減碼三分之一。",未觸發明確減碼訊號,71,62.8,57.9,85,100,可用,1165,,40.59,39.56,17.18,24.03,338.73,5.53,136.9,15.28,0.17,34,-13,516,742,1317,2034,-262,5982.298,1930.4759999999997,5835.978999999999,-5006.2480000000005,-134.182,-650.099,-550.296,-5185.374,3,2,-757365335,325.416,394.015,12.16,5556,3175,6526,,5863.122,2255.1590000000006,5992.260000000001,709.3780000000006,54.28,63.61,49.73,91.38,false,false,4.86,7.37,主動ETF 5日轉為減碼；20日趨勢尚未上彎；借券賣出與借券賣出餘額壓力升高
105,2303,聯電,TWSE,半導體業,等待確認,正常持有,strong,強勢續抱；不追高,今日收盤確認是否守住20日EMA,價格仍在20／60日EMA之上且短線強勢；法人未同步轉弱。若收盤跌破20日EMA約 141.07 且法人續弱，再轉為保護持有。,價格強勢站上20／60日EMA；法人未同步轉弱,68.7,62.6,57.6,85,100,可用,160,,30.71,14.66,20.21,33.34,216.6,4.68,24.06,4.52,1.63,61,-481,-2139,12699,16360,8249,18521,60104.008,164043.247,189194.38900000002,179091.43800000002,7857.888,61207.872,94276.516,104342.89600000001,5,0,9793259520,13729.839,15148.794999999998,41.69,46995,91048,79398,,50545.175,89105.53600000001,79769.07800000001,52185.679000000004,69.85,80.5,81.23,79.04,false,true,13.42,15.52,ETF 1/3日已轉為減碼；外資持股尚未完成5／10日可比核對或期間有非市場異動；此項不給分，不解讀為轉弱；短線過熱或乖離過大；KD高檔死亡交叉，等待動能確認；單季稅前獲利對營業外貢獻依賴偏高
106,2886,兆豐金,TWSE,金融保險業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 48.33 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,69.4,62.3,52.9,85,100,可用,50.5,,15.55,16.58,,92.31,,1.44,19.65,1.86,3.47,35,813,3832,6200,25718,17977,-380,8422.787,15851.207999999999,42802.421,191316.557,-4781.067,-4641.040000000001,12762.213,13429.292000000001,3,2,-234372520,2404.2970000000005,3174.7730000000006,20.81,14937,30594,29995,,12736.35,18087.951,26865.435,178332.187,53.3,49.6,61.85,25.1,false,false,0.48,-2.51,主動ETF 5日轉為減碼；借券賣出與借券賣出餘額壓力升高
107,2481,強茂,TWSE,半導體業,等待確認,正常持有,strong,強勢續抱；不追高,今日收盤確認是否守住20日EMA,價格仍在20／60日EMA之上且短線強勢；法人未同步轉弱。若收盤跌破20日EMA約 157.39 且法人續弱，再轉為保護持有。,價格強勢站上20／60日EMA；法人未同步轉弱,74.5,62.2,41.3,85,100,完整,171,,29.82,18.1,9.31,47.75,162.68,2.03,45.36,4.34,1.05,7,0,0,260,1060,4317,260,5675.673,8956.082,12451.783000000001,5377.099000000002,78,6965.6,8227.6,16170.6,5,0,1191117600,1088.638,82.91799999999986,11.24,5223,867,4422,,5343.27,901.844000000001,4141.265000000003,-10127.533999999996,61.36,76.03,66.94,94.2,false,false,8.65,11.4,
108,2492,華新科,TWSE,電子零組件業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 310.93，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,投信5/10日持續且具金額意義地賣超,65.2,62.2,54.8,85,100,可用,311,,45.54,22.1,9.02,34.44,157.66,4.93,34.94,2.27,0.8,9,0,21,25,-19,-31,0,2508.713,-696.7960000000005,-15047.362000000001,81.46600000000035,0,-1706,-4970,-5267,0,4,-530566000,268.716,224.1930000000001,12.59,2382,-606,-8499,,2329.816,740.4879999999996,-10301.555,5061.549999999999,52.34,36.34,41.33,26.34,false,false,2.35,3.67,投信5/10日持續且具金額意義的賣超；ETF加碼，但外資持股5/10日同步下降
109,2883,凱基金,TWSE,金融保險業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 33.02 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,69.1,62.1,57.3,85,100,可用,39.3,,-51.73,4170.37,,89.78,,1.64,13.74,1.55,2.54,28,-46,-301,8044,21024,17931,303,-28638.134,12124.600000000002,17620.167999999998,125054.481,-510.226,8304.647,19241.095,20310.078,2,3,326372627,638.0240000000001,2081.9259999999995,29.69,-26676,7292,2851,,-27960.513,3181.929000000002,-3702.852999999999,103885.97,68.88,80.97,86.46,69.99,false,false,6.2,3.01,ETF 1/3日已轉為減碼；外資持股尚未完成5／10日可比核對或期間有非市場異動；此項不給分，不解讀為轉弱
110,2892,第一金,TWSE,金融保險業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 35.42，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,KD高檔死亡交叉（僅屬時機警示）,70.7,62.1,53.3,85,100,可用,39.9,,13.9,17.99,,94.24,,1.24,18.64,1.9,3.26,27,289,-608,11644,36260,40748,0,9287.149,40189.748,96551.607,268011.928,171.486,11505.507,36218.46299999999,43846.61099999999,4,1,459069729,2073.178,2924.7569999999996,26.73,18640,39163,59234,,9026.115,26611.063000000002,57408.387,221047.723,71.23,76.66,82.96,64.06,false,true,4.87,0.88,KD高檔死亡交叉，等待動能確認；借券賣出與借券賣出餘額壓力升高
111,2882,國泰金,TWSE,金融保險業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 103.30 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,65.7,61.8,57.6,85,100,可用,112,,-69.47,62.51,,92.45,,4.95,13.21,1.61,3.13,33,26,-8443,-960,1035,13122,-44,-1786.768,540.7519999999995,-5085.799000000001,15092.232999999998,-73.536,-1102.3220000000001,972.0529999999999,15586.439999999999,2,3,-123460064,1783.042,1966.9150000000002,23.18,920,4413,-8430,,-1749.364,-139.96799999999894,-8024.766999999998,-3646.084999999999,58.19,57.1,51.73,67.84,true,false,2.09,1.82,20日累積後5日轉為調節；主動ETF 5日轉為減碼；投信20日買超後近5日轉賣
