排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,距20EMA%,5日報酬%,淘汰原因
268,6919,康霈*,TWSE,生技醫療業,觀察,48.4,100,113.5,106.5,,-70.78,-12291550,1.82,4520.84,-0.07,,18.85,,4,0,0,2,2,-24612,0,1551,4580,5943,-1613,-3,-8,-7,-24751,0,3,-908000,128,171,14.05,1514,4458,5138,21376,1514,4460,5779,22640,62.35,8.76,8.61,
269,2495,普安,TWSE,電腦及週邊設備業,等待轉強,48.3,100,42.6,39.7,40.29,43.44,12.57,37.27,246.88,0.33,37.7,2.49,1.88,2,0,0,0,-1,11,0,-685,-2389,-318,-1150,0,0,-1,11,0,0,0,-131,-248,6.46,-750,-2554,-1535,-1913,-690,-2258,-71,-1089,35.18,-12.66,-16.8,中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
270,1722,台肥,TWSE,化學工業,等待轉強,48.1,100,47.8,47.48,-10.47,6.42,-1.3,34.15,398.51,0.19,45.96,0.85,4.18,4,0,0,-5,-8,-28,0,111,97,4007,5281,-3,-15,-15,-40,0,5,-717000,15,5,8.71,-256,-136,1807,3848,113,96,4015,5382,50.99,-0.03,-0.52,ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
271,3014,聯陽,TWSE,半導體業,等待轉強,48.1,100,131.5,127.25,-1.12,-2.09,28.74,37.14,205.88,2.85,14.22,3.52,6.46,11,209,546,795,1452,3710,16,-124,-1207,-3881,-90,209,615,1270,3708,4,1,80872500,-555,-142,19.61,-478,-800,-4577,-4211,-333,-1266,-5008,-3794,32.05,-10.92,-14.33,累計營收負成長且當月改善不足；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
272,1605,華新,TWSE,電器電纜,等待轉強,48,100,34.75,32.78,29.34,-0.44,1.33,43.02,149.83,0.81,25.36,0.94,1.44,6,0,2,3,-99,-227,0,-1573,-5730,-22956,-65844,-10,-28,-121,-262,0,4,-973000,252,-1712,15.26,-2024,-163,-17384,-48321,-1488,-5956,-21127,-60889,45.33,-2.66,-0.29,中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
273,2455,全新,TWSE,通信網路業,等待轉強,48,98.5,313,282.5,23.55,27.65,23.63,32.02,359.31,1.06,98.74,15.78,0.84,13,7,-13,19,-80,301,-1,674,1205,-2871,1398,2,-87,372,1960,2,3,-27231000,-950,-1864,27.33,533,1423,-392,-167,552,2243,-1379,368,38.99,-9.3,-6.57,中期趨勢仍向下；主動ETF 5日轉為減碼；投信20日買超後近5日轉賣；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；估值高且成長不足以支撐
274,2485,兆赫,TWSE,通信網路業,等待轉強,47.7,100,47.3,43.95,80.93,82.02,9.39,19.84,327.9,0.41,1182.5,2.85,,1,-11,-11,-15,-22,-43,0,-501,2315,5632,8059,-11,-15,-22,-43,0,2,-709500,600,400,2.84,-1306,-137,3501,4748,-472,1731,5254,6514,32.24,-11.76,-5.78,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
275,3714,富采,TWSE,光電業,等待轉強,47.5,100,57.7,53.35,18.97,1.73,-5.84,18.47,365.22,-0.2,,1.02,1.56,2,0,0,0,0,0,0,-1193,1533,315,7574,0,0,0,0,0,0,0,112,251,11.31,-3790,158,5436,7572,-1204,1422,65,7488,37.81,-8.57,-6.79,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
276,1597,直得,TWSE,電機機械,等待轉強,47.4,100,138.5,130.75,45.25,44.32,13.25,41.35,230.7,0.43,116.39,5.05,0.51,1,-3,-3,-4,-6,-12,0,5,601,-1164,-1057,-3,-4,-6,-12,0,2,-554000,172,225,6.47,-199,94,-1128,-815,-2,433,-1384,-1326,43.44,-4.87,-1.42,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
277,2439,美律,TWSE,通信網路業,等待轉強,47.3,100,85.8,83.8,0.15,11.89,1.88,55.01,162.61,1.03,17.44,1.28,4.66,6,0,-2,-4,-767,-2980,0,-387,-2787,-3041,-6309,0,-4,-766,-2980,0,2,-343200,-262,-241,11.2,-133,-1563,-1703,-1830,-329,-2521,-2033,-3090,36.07,-3.58,-3.92,中期趨勢仍向下；ETF短中期同步減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
