排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,距20EMA%,5日報酬%,淘汰原因
347,6183,關貿,TWSE,資訊服務業,排除,58,100,91.1,90.4,7.45,9,29.1,35.05,207.12,1.07,22.49,4.56,3.9,1,0,0,0,0,0,0,0,100,117,129,0,0,0,0,0,0,0,2,2,1.08,-51,56,75,76,0,98,115,130,58.06,0.94,1.22,"單日成交金額低於5,000萬元"
348,7749,意騰-KY,TWSE,半導體業,排除,57.7,100,387,368.5,64.48,64.12,32,10.43,897.15,3.56,31.06,4.57,2.33,1,0,0,0,5,11,0,-27,-56,-110,-765,0,0,0,-189,0,0,0,-3,-1,22.75,-46,-84,-475,-984,-26,-52,-108,-543,32.48,-9.26,-5.61,"單日成交金額低於5,000萬元；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
349,2303,聯電,TWSE,半導體業,排除,57.4,100,160,144,22.85,11.28,18.47,32.2,271.87,1.29,40.2,4.95,1.63,63,-10101,-11433,-18741,-72761,-420336,65,-19942,-29899,-48271,-134272,-10330,-15210,-74408,-341534,2,3,-2433600000,2438,-11220,42.06,-13289,11670,55067,215291,-13953,-17127,37357,187135,54.62,2.15,-1.84,處置或交易限制風險；ETF短中期同步減碼；ETF 1/3日已轉為減碼；投信5/10日持續且具金額意義的賣超；外資持股趨勢資料不足或期間有非市場異動；當下除權息調整價未守20日EMA
350,2497,怡利電,TWSE,汽車工業,排除,57.4,100,59.6,57.4,52.52,21.2,8.13,48.83,155.09,0.8,26.37,2.52,3.36,1,0,0,0,0,0,0,86,-393,1668,871,0,0,0,0,0,0,0,4,9,4.6,82,-315,1700,868,82,-397,1657,867,48.97,-1.22,-6.58,"單日成交金額低於5,000萬元；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
351,8021,尖點,TWSE,其他電子業,排除,57.3,100,505,454.5,90.11,66.6,20.12,35.15,258.65,1.17,144.7,13.61,0.39,9,0,-1,-1,18,162,0,-140,617,470,4936,10,33,-382,-55,3,0,16665000,261,362,20.3,-135,221,-232,3332,-131,322,489,4301,48.08,-3.04,-2.51,處置或交易限制風險；20日累積後5日轉為調節；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
352,2420,新巨,TWSE,電子零組件業,排除,57.2,100,59.3,57.6,10.73,1.47,29.85,28.03,376.2,1.05,15.05,2.18,5.06,1,0,0,0,0,-219,0,-33,-278,-296,-498,0,0,0,-219,0,0,0,87,133,7.43,-27,-269,-267,-206,-35,-364,-427,-414,42.33,-2.25,-1.5,"單日成交金額低於5,000萬元；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
353,2546,根基,TWSE,建材營造,排除,57,100,95.7,95.6,44.27,21.26,5.33,61.72,157.79,1.43,10.06,2.02,6.27,1,0,0,0,0,0,0,25,96,92,122,0,0,0,0,0,0,0,33,38,3.66,-94,-16,2,-41,22,63,54,77,62.03,2.42,3.91,"單日成交金額低於5,000萬元；20日趨勢尚未上彎"
354,2889,國票金,TWSE,金融保險業,排除,57,100,15.85,15.75,100.04,130.05,,88.34,,0.25,20.58,1.24,3.72,2,0,-37,-37,-37,-38,0,336,5900,25830,23396,0,1969,1969,1968,1,1,31208650,203,289,9.28,-820,1401,20210,18167,284,3728,23572,21135,70.06,3.29,0.96,"單日成交金額低於5,000萬元；ETF短中期同步減碼"
355,8261,富鼎,TWSE,半導體業,排除,57,100,278.5,251,16.09,8.1,25.66,11.26,757.9,1.57,47.69,5.41,1.8,2,0,0,0,183,208,0,-181,2278,372,8135,0,0,183,208,0,0,0,28,30,6.21,-242,2138,-494,5636,-153,2247,156,7762,53.41,-0.61,-19.97,處置或交易限制風險；當下除權息調整價未守20日EMA
356,8462,柏文,TWSE,運動休閒,排除,56.5,100,160,157.5,20.11,20.24,16.17,77.98,71.55,2.42,17.24,4.68,4.55,1,0,-1,-1,0,0,0,14,682,1024,1136,0,-1,0,0,0,1,-160000,-6,-7,5.06,14,705,1039,1035,14,689,1031,1140,66.16,5.69,2.56,"單日成交金額低於5,000萬元"
357,1307,三芳,TWSE,塑膠工業,排除,56.4,100,32.7,32.35,11.11,4.77,13.9,45.87,164.97,0.97,11.93,1.33,6.73,1,0,0,-5,-41,-100,0,64,274,-1805,-3947,0,-5,-41,-101,0,1,-163500,-478,-1114,7.17,135,1539,-149,-2599,71,757,-652,-2713,43.02,-2.57,2.19,"單日成交金額低於5,000萬元；中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
358,2362,藍天,TWSE,電腦及週邊設備業,排除,56.2,100,42.4,41.2,30.25,17.64,6.85,57.84,111.43,0.61,18.93,0.55,4.72,2,0,-6,-6,-6,-6,0,66,-186,-616,-3019,0,-6,-6,-6,0,1,-254400,30,-18,9.49,54,162,-94,-3555,52,-211,-592,-3020,45.89,-2.05,-1.74,"單日成交金額低於5,000萬元；中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
359,3040,遠見,TWSE,其他,排除,56.2,100,38.8,38.72,8.72,2.95,9.32,23.85,2454.42,0.04,,1.72,9.02,1,-2,-2,-3,-4,-7,0,17,108,193,-205,-2,-2,-3,-3,0,1,-77600,1,-2,0.89,-1,74,154,101,18,109,198,120,54.22,1.94,3.19,"單日成交金額低於5,000萬元；ETF短中期同步減碼；ETF 1/3日已轉為減碼"
360,4532,瑞智,TWSE,電機機械,排除,56.1,100,25.4,24.75,28.8,1.91,5.88,63.19,130.18,0.48,13.88,1.2,5.91,2,0,0,-18,-63,1411,0,-194,-1035,-354,4921,0,-18,-64,1612,0,1,-457200,-81,-169,18.63,-186,-1274,-447,3126,-191,-936,-120,3075,46.91,-2.51,-6.96,"單日成交金額低於5,000萬元；ETF短中期同步減碼；20日累積後5日轉為調節；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA"
361,8114,振樺電,TWSE,電腦及週邊設備業,排除,55.9,100,194,188.25,19.14,-25.79,17.79,29.6,215.8,2.75,12.93,1.95,5.91,3,0,0,-1,-3,-10,0,28,193,575,238,0,158,156,299,1,1,30652000,-6,26,12.34,-109,81,647,192,34,42,394,26,42.88,-3.97,-7.84,"單日成交金額低於5,000萬元；中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
362,9946,三發地產,TWSE,建材營造,排除,55.9,72,18.3,18.08,-11.49,4131.79,46.84,59.28,221.67,2.56,4.4,0.84,7.49,1,0,0,130,310,335,0,40,-142,116,1064,0,130,310,335,2,0,2379000,8,17,3.29,23,-178,3,820,38,-280,-211,702,,,,"單日成交金額低於5,000萬元"
363,9802,鈺齊-KY,TWSE,運動休閒,排除,55.7,100,75.9,75.1,15.45,0.37,5.13,38.72,126.86,0.89,13.39,1.12,6.72,1,-113,-113,-113,-113,-113,-113,287,1112,1838,965,-114,-115,-114,-115,0,2,-8728500,16,38,41.7,-149,968,1485,855,405,1211,1914,1247,52.26,1.41,4.98,"單日成交金額低於5,000萬元；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；20日趨勢尚未上彎"
364,9935,慶豐富,TWSE,居家生活,排除,55.4,72,18.75,18.5,17.01,7.96,10.69,69.03,106.69,0.51,11.43,1.27,6.4,1,0,0,-4,196,519,0,0,91,417,938,0,-4,196,519,0,1,-75000,1,55,5.78,0,118,147,84,0,94,166,364,,,,"單日成交金額低於5,000萬元"
365,5236,凌陽創新,TWSE,半導體業,排除,55.2,100,152.5,145.75,12.78,17.77,35.04,31.79,316.05,2.97,16,3.98,5.9,1,0,0,0,5,15,0,-79,-57,-105,590,0,0,5,15,0,0,0,-18,-15,7.57,4520,,,,-75,-39,-95,585,36.05,-6.37,-5.57,"單日成交金額低於5,000萬元；中期趨勢仍向下；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
366,2397,友通,TWSE,電腦及週邊設備業,排除,55.1,100,58.3,55.9,31.37,25.65,5.57,58.1,145.39,0.76,25.13,2.07,4.2,1,0,0,0,0,0,0,39,146,978,981,0,0,0,0,0,0,0,-2,-2,13.61,15,147,1044,585,33,148,980,976,44.47,-1.79,-2.02,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
367,6120,達運,TWSE,光電業,排除,55.1,100,14.2,13.28,42.06,-3.78,-2.25,47.11,196.07,-0.15,,0.95,1.76,1,0,0,0,0,45,0,-302,-1499,-1387,895,0,0,0,45,0,0,0,-53,-121,9.54,-151,-1194,-1088,1887,-283,-1447,-1267,1294,49.79,0.08,1.07,"單日成交金額低於5,000萬元；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA"
368,6115,鎰勝,TWSE,電子零組件業,排除,54.7,100,45.7,45.33,15.96,11.79,8.93,34.53,261.24,0.71,16.09,1.54,6.13,1,0,0,0,0,0,0,0,-603,-701,-898,0,0,0,0,0,0,0,3,3,5.29,23,-458,-554,-766,0,-606,-704,-877,32.68,-3.47,-5.19,"單日成交金額低於5,000萬元；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
369,6756,威鋒電子,TWSE,半導體業,排除,54.4,100,96,91.6,50.06,16.36,-12.22,24.85,205.7,0.64,63.16,2.3,0.94,1,0,0,0,0,0,0,-60,-98,-32,209,0,0,0,0,0,0,0,1,-3,3.14,-53,-83,11,197,-62,-99,-29,205,46.76,-3.1,-5.88,"單日成交金額低於5,000萬元；當下除權息調整價未守20日EMA"
370,2206,三陽工業,TWSE,汽車工業,排除,54.3,100,64.2,63.95,-13.38,-5.33,9.42,55.08,146.51,1.37,11.32,1.81,4.77,3,229,511,983,1636,1261,53,253,527,3879,4079,226,975,1630,1252,5,0,62595000,-15,-17,7.44,-94,-672,164,13127,51,-433,2266,2849,63.43,2.14,0.31,營收動能同步衰退；累計營收負成長且當月改善不足；外資持股趨勢資料不足或期間有非市場異動
371,1736,喬山,TWSE,運動休閒,排除,54.2,100,129,130.75,14.49,9.38,-0.78,69.64,130.22,0.08,15.67,2.78,3.49,1,0,0,0,-34,-167,0,80,392,133,1163,-1,-3,-36,-50,0,3,-387000,24,21,5.41,77,162,22,1503,78,371,148,1206,56.38,2.18,-2.27,"單日成交金額低於5,000萬元"
372,2015,豐興,TWSE,鋼鐵工業,排除,54,100,64.3,63.65,-9.73,-11.51,9.2,19.29,277.39,0.91,16.2,1.76,5.13,3,0,0,0,0,0,0,204,1068,1521,402,0,0,-29,-29,0,0,0,26,2,12.54,162,948,1460,538,192,1042,1548,452,63.22,3.17,3.04,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足"
373,4583,台灣精銳,TWSE,電機機械,排除,53.9,100,603,575.5,29.98,14.06,35.52,16.5,589.27,3.56,52.89,5,1.66,4,0,0,0,0,0,0,12,94,72,66,0,0,0,0,0,0,0,1,2,1.25,6,92,60,64,13,93,70,69,39.99,-1.99,-1.15,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
374,8213,志超,TWSE,電子零組件業,排除,53.6,100,34.1,33.28,26.05,10.64,2.32,48.99,172.88,0.3,17.67,0.56,3.34,1,0,0,0,0,0,0,-23,-934,-1717,-1555,0,0,0,0,0,0,0,13,-2,21.7,-139,-1556,-2223,-2176,-32,-947,-1715,-1570,39.14,-3.47,-1.02,"單日成交金額低於5,000萬元；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
375,2102,泰豐,TWSE,橡膠工業,排除,53.3,100,19,18.73,-15.52,-34.88,-113.76,20.49,1749.19,0.01,2.94,0.9,,1,0,0,0,0,0,0,194,348,383,482,0,0,0,0,0,0,0,4,9,3.09,175,330,598,1095,191,344,374,476,60.69,2.01,-0.26,"單日成交金額低於5,000萬元；營收動能同步衰退；累計營收負成長且當月改善不足"
376,2450,神腦,TWSE,通信網路業,排除,52.8,100,28.8,28.85,16.42,15.9,0.71,45.77,159.98,0.25,18.82,1.22,5.38,1,0,0,0,0,0,0,-18,26,25,-770,0,0,0,0,0,0,0,1,-1,1.33,-20,96,121,-377,-20,25,26,-495,40.59,-1.09,0,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
377,4949,有成精密,TWSE,光電業,排除,52.8,100,76.7,70.75,68.69,40.95,12.45,32.85,291.02,1.19,28.51,3.14,1.83,1,-2,-2,-3,-4,-8,0,12,-611,-177,56,-2,-3,-4,-8,0,2,-230100,1,3,2.92,29,-613,-128,160,13,-609,-176,58,41.13,-5.28,6.68,"單日成交金額低於5,000萬元；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
378,5484,慧友,TWSE,光電業,排除,52.3,100,46.55,44.2,224.33,118.45,-9.56,48.35,110.65,0.33,125.81,6.03,,1,-2,-2,-2,-4,-7,0,20,-255,-231,-598,-2,-2,-4,-7,0,1,-93100,4,6,1.28,21,-257,-233,-596,21,-257,-233,-600,48.3,-1.64,3.79,"單日成交金額低於5,000萬元；ETF短中期同步減碼；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
379,4942,嘉彰,TWSE,光電業,排除,52.1,100,37.6,37.08,-10.88,-6.79,5.6,20.11,341.31,0.52,12.7,0.59,5.32,1,0,0,0,0,0,0,0,138,180,90,0,0,0,0,0,0,0,2,2,6.84,-43,59,85,-23,0,136,178,91,49.8,0.08,0.67,"單日成交金額低於5,000萬元；營收動能同步衰退；累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
380,2543,皇昌,TWSE,建材營造,排除,52,100,39.75,39.38,105.33,54.81,9.02,50.36,105.92,0.37,16.03,2.09,3.77,1,0,0,0,0,0,0,216,1096,1154,1571,-1,-3,-1,-2,0,3,-119250,-1,-19,1.51,175,1283,1232,1786,209,1101,1175,1739,43.29,-1.42,2.71,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
381,1712,興農,TWSE,化學工業,排除,51.9,100,39.55,39.63,4.08,3.12,7.64,49.53,134.41,0.67,15.95,2.12,6.32,2,1,-3,-12,291,1081,0,0,-159,-153,-1295,0,-15,290,1078,0,3,-593250,5,-5,13.55,-14,-196,-722,-1815,0,-149,-438,-2380,48.43,-0.01,0.51,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日累積後5日轉為調節；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎"
382,6281,全國電,TWSE,電子通路業,排除,51.8,100,51.6,51.35,-0.86,-1.6,3.12,73.4,127.06,1.13,13.83,1.91,6.4,1,0,0,0,0,0,0,0,-25,117,71,0,0,0,0,0,0,0,4,5,2.52,-47,-35,114,62,0,-29,112,65,51.58,0.29,0.19,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
383,2535,達欣工,TWSE,建材營造,排除,51.6,100,89.3,88.05,19.94,22.31,10.61,67.39,168.08,2.88,10.71,2.35,5.15,1,1,-2,-2,0,1,0,30,-47,-271,-57,1,0,2,2,1,1,0,-24,-55,7.21,-37,18,-151,249,26,-23,-218,24,52.86,0.13,2.41,"單日成交金額低於5,000萬元；20日累積後5日轉為調節；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
384,3189,景碩,TWSE,半導體業,排除,51.5,100,770,693,32.27,29.79,8.02,38.47,187.51,1.17,216.9,9.4,0.2,22,-10,-7,-12,131,2645,1,-205,1419,-4657,2001,-11,474,-260,15508,4,1,364980000,531,393,21.06,-500,517,-4511,-14182,-471,414,-4792,-14432,51.35,-0.68,1.99,處置或交易限制風險；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；當下除權息調整價未守20日EMA
385,2731,雄獅,TWSE,觀光餐旅,排除,51,100,146.5,144.75,-0.46,9.79,5.1,59.31,150.1,4.17,8.57,2.56,8.74,2,0,-1,-4,0,-542,0,0,-304,-663,-2109,0,-3,1,-591,0,2,-439500,-7,-11,9.26,8,-73,-245,-941,0,-294,-652,-1501,36.7,-1.91,0,"單日成交金額低於5,000萬元；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
386,2832,台產,TWSE,金融保險業,排除,50.6,72,57.2,56.9,7.27,8.04,,52.67,,1.64,11,1.19,6.12,1,0,0,-4,96,530,0,0,150,125,892,0,0,100,534,0,0,0,1,-50,4.36,-4,138,83,445,0,149,76,435,,,,"單日成交金額低於5,000萬元"
387,2373,震旦行,TWSE,其他電子業,排除,49.7,100,54.1,53.7,4.91,-2.47,4.67,52.68,186.73,0.72,13.87,1.73,6.84,1,0,0,0,0,0,0,0,78,29,77,0,0,0,0,0,0,0,5,3,1.37,-7,61,7,7,0,73,26,74,32.31,-2.97,0.56,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
388,2636,台驊控股,TWSE,航運業,排除,49.3,100,64.1,63.7,25.18,1.59,2.6,56.89,162.19,1.1,9.39,0.93,7.8,1,1,-1,-1,0,1,0,65,-954,-514,-742,1,-1,0,0,1,1,-64100,-348,-335,9.05,46,-507,-539,-1222,79,-605,-179,-515,27.17,-7,-9.46,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日累積後5日轉為調節；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
389,7795,長廣,TWSE,電子零組件業,排除,49.3,100,563,507,62.55,2.93,10.99,32.61,363.61,0.21,201.79,15.78,0.38,1,0,0,0,0,0,0,-106,-714,-397,1211,0,0,0,0,0,0,0,-6,31,9.94,-106,-708,-428,1171,-106,-708,-429,1170,57.92,5.65,-4.09,處置或交易限制風險；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
390,3031,佰鴻,TWSE,光電業,排除,49,100,27.95,27,27.04,20.27,6.24,18.62,352.91,0.13,24.96,1.7,3.58,1,-3,-3,-4,-6,-13,0,-212,-1117,1158,-379,-3,-4,-6,-13,0,2,-111800,-4,12,1.4,-616,-2245,-644,-2239,-201,-1107,1153,-368,39,-8.39,-12.11,"單日成交金額低於5,000萬元；ETF短中期同步減碼；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA"
391,4746,台耀,TWSE,生技醫療業,排除,48.7,100,53,52.3,0.29,-8.86,14.17,36.6,232.78,0.16,18.79,0.82,5.66,1,0,0,0,0,49,0,-36,-141,1134,1998,0,0,0,49,0,0,0,0,19,9.58,-38,-331,723,1469,-37,-140,1116,1918,48.11,-0.94,-5.19,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；當下除權息調整價未守20日EMA"
392,3705,永信,TWSE,生技醫療業,排除,48.4,100,55.5,55.25,-21.98,-12.41,16.16,33.57,263.31,0.89,18.69,1.94,5.41,1,0,0,0,0,0,0,105,470,638,141,0,0,0,0,0,0,0,11,1,7.3,95,295,700,191,90,459,637,160,53.93,0.89,2.21,"單日成交金額低於5,000萬元；營收動能同步衰退；累計營收負成長且當月改善不足；20日趨勢尚未上彎"
393,8442,威宏-KY,TWSE,其他,排除,48,72,45.6,45.3,32.95,9.28,0.73,52.46,170.15,0.03,25.47,0.88,6.58,1,0,0,-1,-1,162,0,0,-237,-154,8,0,-1,-1,162,0,1,-45600,-8,-10,56.05,-7,-216,-132,-119,0,-228,-143,-140,,,,"單日成交金額低於5,000萬元；ETF短中期同步減碼；外資持股5/10日下降，且外資5日賣超"
394,2474,可成,TWSE,其他電子業,排除,47.9,100,189,188.25,-55.07,-31.58,6.45,36.79,147.21,2.63,18.1,0.74,5.43,22,-551,-209,54,5604,7057,34,-342,200,-3005,-18060,-571,-233,5039,6446,3,2,-44037000,216,626,15.91,104,3272,-6829,-23094,165,215,-8672,-25276,38.89,-5.04,-3.08,營收動能同步衰退；累計營收負成長且當月改善不足；中期趨勢仍向下；ETF 1/3日已轉為減碼；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
395,3679,新至陞,TWSE,電子零組件業,排除,47.9,72,110.5,109.5,1.35,-10.64,19.63,49.63,245.99,2.67,13.02,1.48,8.14,1,0,0,-1,-1,130,0,0,34,-23,-59,0,0,0,131,0,0,0,3,3,8.26,3,63,43,3,0,31,-26,-130,,,,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；ETF短中期同步減碼"
396,1707,葡萄王,TWSE,生技醫療業,排除,47.8,100,92.5,92.15,-7.24,-2.69,14.72,23.5,159.55,1.18,11.56,1.37,6.49,2,1,-3,-3,-2,-1,0,-51,234,358,-167,1,-3,-2,-1,1,1,-277500,-3,-12,14.32,-43,511,798,489,-53,240,372,-154,34.6,-1.79,1.65,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
397,4755,三福化,TWSE,化學工業,排除,47.4,100,135.5,130,15.63,-1.64,9.51,33.58,142.21,1.01,37.53,2.45,2.73,1,0,0,0,0,0,0,29,4,31,-973,0,0,0,0,0,0,0,-3,-3,23.92,42,191,234,-904,28,7,35,-966,49.36,-0.92,1.12,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
398,3622,洋華,TWSE,光電業,排除,47.2,72,55.2,53.6,-19.47,-3.09,21.05,14.94,617.21,1.09,9.45,1.15,5.8,1,0,0,0,11,323,0,0,-201,-495,-323,0,0,11,324,0,0,0,0,-7,3.3,-76,-167,-451,-821,0,-201,-499,-638,,,,"單日成交金額低於5,000萬元；營收動能同步衰退；累計營收負成長且當月改善不足；外資持股5/10日下降，且外資5日賣超"
399,1229,聯華,TWSE,食品工業,排除,47.1,100,41.45,41.23,-52.01,-22.93,9.65,20.5,100.83,0.55,15.94,1.33,4.83,6,0,35,65,365,681,70,996,1286,-3145,-42,-5,50,328,637,4,1,2072500,67,6,8.71,996,394,-3601,-3831,980,1169,-3479,-792,48.68,-0.27,3.37,營收動能同步衰退；累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
400,2903,遠百,TWSE,貿易百貨,排除,47.1,100,22.4,22.53,-2.42,-0.3,14.91,72.43,51.94,0.39,13.83,1.01,5.58,3,0,0,-2,1446,10650,0,1147,2008,3095,-603,-4,-14,1439,10637,0,5,-313600,-367,-223,7.5,667,2445,3038,-9719,1137,2389,1879,-10992,47.14,-0.54,1.36,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；20日累積後5日轉為調節；20日趨勢尚未上彎"
401,6176,瑞儀,TWSE,光電業,排除,47,100,88.6,86.25,-15.03,-5.98,11.95,49.96,165.92,2.29,9.46,1.13,3.95,7,0,6,-280,-5247,-29936,36,226,-1661,6523,3174,0,-280,-5247,-29970,1,3,-24808000,-157,-123,35.6,-788,-1109,11749,32086,188,-1224,11894,33553,42.81,-1.75,-2.53,營收動能同步衰退；累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
402,6790,永豐實,TWSE,造紙工業,排除,47,100,38.95,38.75,-4.83,-1.24,9.89,43.5,207.33,0.83,12.69,1.71,6.8,1,0,0,0,0,0,0,132,124,-127,116,0,0,0,0,0,0,0,2,12,1.81,131,113,-146,-452,131,122,-139,-48,40.64,-2.04,-4.18,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
403,2504,國產,TWSE,建材營造,排除,46.1,100,31.55,31.98,-18.57,-8.83,21.85,38.45,131.85,0.7,9.59,1.32,8.24,8,0,-13,-16,-5615,17849,0,1054,-1997,-5276,894,-4,-27,-5627,17827,1,4,-851850,202,175,5.99,1114,1279,5473,-3326,1045,-2171,176,-15668,38.25,-3.13,-2.17,營收動能同步衰退；累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；20日累積後5日轉為調節；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
404,6189,豐藝,TWSE,電子通路業,排除,46.1,100,49.05,48.15,4.49,-2.48,4.6,57.46,168.57,1,18.65,1.99,5.5,3,0,0,-4,-16,10,0,-30,198,851,432,0,-3,-18,9,0,1,-147150,26,37,7.29,-567,-423,1141,-1008,-26,173,830,321,41.54,-4.13,-4.2,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；20日累積後5日轉為調節；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
405,1810,和成,TWSE,玻璃陶瓷,排除,46,100,28.9,27.2,-11.91,-8.26,-19.13,20.48,326.07,3.64,7.65,1.08,0.69,1,0,0,-17,8,67,0,-2295,238,-2619,470,0,-17,8,67,0,1,-491300,56,58,4.53,-2194,1909,-672,2548,-2302,197,-2689,383,70.52,19.88,18.2,營收動能同步衰退；累計營收負成長且當月改善不足；20日累積後5日轉為調節；短線過熱或乖離過大；高波動且5日漲幅過大；強勢上漲後盤中急跌反轉
406,1735,日勝化,TWSE,化學工業,排除,45.8,100,21.3,20.1,15.84,6.71,4.86,47.64,125.89,0.2,26.3,1.33,3.05,1,-1,-1,-2,-3,-6,0,-25,-13,-16,236,-1,-1,-2,-5,0,1,-21300,5,7,51.34,-27,148,148,269,-30,-17,-21,233,40.73,-4.78,-3.4,"單日成交金額低於5,000萬元；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
407,4571,鈞興-KY,TWSE,電機機械,排除,45.7,100,160,153.5,5.51,-1.05,18.97,19.94,401.3,2.41,17.76,2.46,3.29,1,1,0,0,0,1,0,0,-153,-524,-1029,0,-1,-1,0,0,1,-160000,-2,-4,64.15,9,-66,-464,-996,0,-150,-519,-1023,36.41,-6.17,-5.04,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
